Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Avg_Trading
2007-01-02,233.76,239.19,231.21,237.39,1545060,0,0,235.39
2012-06-11,514.21,519.66,511.75,514.44,1545048,0,0,515.02
2017-03-02,1134.48,1145.11,1126.88,1141.21,1544942,0,0,1136.92
2016-07-11,1099.65,1118.57,1098.29,1115.1,1543632,0,0,1107.9
2011-05-02,477.62,480.68,470.47,472.9,1543070,0,0,475.42
2014-11-10,1127.85,1130.87,1117.3,1125.46,1541964,0,0,1125.37
2012-03-05,503.05,506.55,497.67,500.28,1540878,0,0,501.89
2010-11-10,445.13,451.55,442.62,445.15,1540224,0,0,446.11
2016-02-26,998.65,1010.83,985.17,990.05,1537536,0,0,996.17
2014-09-16,1121.6,1125.53,1111.98,1114.98,1535608,0,0,1118.52
2018-07-25,1880.95,1881.05,1849.48,1861.79,1535492,0,0,1868.32
2017-01-10,1048.14,1059.88,1042.45,1053.3,1533914,0,0,1050.94
2016-05-23,1139.42,1140.27,1110.84,1115.88,1533016,0,0,1126.6
2012-04-10,483.29,487.16,477.47,479.1,1532992,0,0,481.75
2010-12-31,477.83,480.89,473.47,475.04,1532980,0,0,476.81
2018-08-27,1919.57,1934.6,1912.05,1926.99,1532702,0,0,1923.31
2018-08-06,1876.35,1878.18,1853.1,1856.2,1532249,0,0,1865.96
2013-07-03,634.63,643.66,620.77,631.28,1530906,0,0,632.59
2018-09-10,1958.47,1966.93,1948.93,1955.04,1530539,0,0,1957.34
2016-03-11,1048.05,1070.82,1045.81,1059.36,1530528,0,0,1056.01
2011-12-05,484.52,489.23,480.41,488.01,1530476,0,0,485.54
2015-10-27,1130.44,1137.07,1126.1,1130.91,1530420,0,0,1131.13
2011-05-10,462.51,473.52,460.47,465.33,1529158,0,0,465.46
2016-02-18,1023.42,1038.98,1020.28,1037.23,1529140,0,0,1029.98
2010-06-17,315.31,318.48,309.92,314.62,1528920,0,0,314.58
2017-10-11,1138.04,1163.23,1136.54,1156.71,1527746,0,0,1148.63
2017-11-21,1252.94,1252.94,1236.7,1239.92,1527740,0,0,1245.62
2016-03-02,1032.37,1043.57,1010.54,1038.58,1527486,0,0,1031.27
2008-09-01,158.67,159.65,157.12,158.66,1527432,0,0,158.52
2014-02-18,922.94,934.02,919.04,923.36,1526916,0,0,924.84
2014-07-03,1032.51,1052.3,1029.49,1040.64,1526762,0,0,1038.74
2017-08-10,1160.71,1166.08,1150.23,1161.85,1526172,0,0,1159.72
2018-08-29,1947.29,1951.14,1922.01,1946.82,1525867,0,0,1941.82
2013-01-25,555.95,564.88,555.95,562.99,1521100,0,0,559.94
2012-07-05,520.41,520.41,515.13,517.38,1520876,0,0,518.33
2015-11-18,1067.37,1067.37,1048.2,1050.64,1520352,0,0,1058.4
2013-12-04,859.55,864.53,848.38,851.1,1519036,0,0,855.89
2016-07-22,1130.83,1142.19,1127.71,1138.16,1517216,0,0,1134.72
2015-10-30,1117.01,1122.33,1110.31,1114.87,1516696,0,0,1116.13
2017-10-18,1200.5,1209.12,1193.56,1196.61,1514144,0,0,1199.95
2016-05-12,1128.91,1151.02,1128.91,1149.36,1513082,0,0,1139.55
2016-03-04,1065.97,1065.97,1052.33,1055.91,1512966,0,0,1060.04
2017-03-07,1132.75,1142.83,1129.16,1140.46,1511672,0,0,1136.3
2021-08-09,3323.9,3337,3310,3322.7,1510489,0,0,3323.4
2018-08-02,1860.38,1865.08,1827.49,1830.69,1509287,0,0,1845.91
2012-01-09,483.9,487.49,481.52,484.04,1509028,0,0,484.24
2012-09-04,557.24,563.14,552.71,560.57,1508018,0,0,558.41
2018-05-23,1639.05,1648.35,1618.59,1625.15,1507298,0,0,1632.78
2018-08-03,1838.3,1862.3,1838.3,1859.86,1505131,0,0,1849.69
2011-11-28,445.45,452.91,443.81,449.81,1504486,0,0,447.99
2007-11-27,190.39,192.01,186.47,191.44,1503964,0,0,190.08
2016-08-23,1154.65,1181.87,1152.5,1180.11,1503374,0,0,1167.28
2006-01-31,158.53,158.53,155.96,157.66,1503160,0,0,157.67
2012-12-28,525.46,533,524.1,531.12,1501622,0,0,528.42
2016-05-18,1149.2,1149.2,1131.38,1142.6,1500740,0,0,1143.1
2017-06-05,1170.2,1195.25,1167.99,1187.97,1500188,0,0,1180.35
2020-02-14,2132.55,2155.94,2115.98,2128.84,1500115,0,0,2133.33
2021-06-29,3334.72,3358.97,3319.26,3333.58,1497322,0,0,3336.63
2017-11-13,1253.42,1288.38,1253.42,1279.82,1496996,0,0,1268.76
2015-07-23,1117.5,1126.53,1102.18,1104.67,1496780,0,0,1112.72
2004-06-11,67.86,75.84,67.86,69.61,1495680,0,0,70.29
2012-06-18,532.15,536.46,521.3,524.29,1495388,0,0,528.55
2016-02-01,1070.94,1080.72,1056.56,1076.13,1495274,0,0,1071.09
2013-11-22,847.25,855.76,844.74,851.44,1494494,0,0,849.8
2016-04-05,1106.63,1112.95,1093.76,1103.03,1491794,0,0,1104.09
2011-07-06,484.27,490.29,481.58,486.14,1490178,0,0,485.57
2019-06-17,2145.95,2151.65,2132.11,2139.48,1489497,0,0,2142.3
2017-06-14,1132.54,1142.23,1132.54,1139.55,1489142,0,0,1136.71
2016-08-29,1150.12,1150.12,1119.17,1134.51,1488728,0,0,1138.48
2014-04-22,952.33,959.13,946.34,946.83,1486274,0,0,951.16
2006-05-08,190.75,197.45,189.71,190.6,1484712,0,0,192.13
2013-02-01,564.46,567.82,563.68,566.18,1484540,0,0,565.53
2014-09-18,1132.83,1159.1,1128.16,1154.95,1483078,0,0,1143.76
2008-04-09,169.79,172.1,167.67,169.06,1482600,0,0,169.66
